"NAME","DP03_0062E","state","county",
"Baldwin County, Alabama","44874","01","003",
"Calhoun County, Alabama","36205","01","015",
"Cullman County, Alabama","39936","01","043",
"DeKalb County, Alabama","40876","01","049",
"Elmore County, Alabama","50699","01","051",
"Etowah County, Alabama","39459","01","055",
"Houston County, Alabama","39006","01","069",
"Jefferson County, Alabama","45013","01","073",
"Lauderdale County, Alabama","43891","01","077",
"Lee County, Alabama","46068","01","081",
"Limestone County, Alabama","48639","01","083",
"Madison County, Alabama","58076","01","089",
"Marshall County, Alabama","38116","01","095",
"Mobile County, Alabama","42944","01","097",
"Montgomery County, Alabama","44675","01","101",
"Morgan County, Alabama","43169","01","103",
"St. Clair County, Alabama","53803","01","115",
"Shelby County, Alabama","67800","01","117",
"Talladega County, Alabama","37719","01","121",
"Tuscaloosa County, Alabama","46538","01","125",
"Walker County, Alabama","34810","01","127",
"Anchorage Municipality, Alaska","79045","02","020",
"Fairbanks North Star Borough, Alaska","69113","02","090",
"Matanuska-Susitna Borough, Alaska","72122","02","170",
"Apache County, Arizona","29180","04","001",
"Cochise County, Arizona","46647","04","003",
"Coconino County, Arizona","50637","04","005",
"Maricopa County, Arizona","52045","04","013",
"Mohave County, Arizona","39058","04","015",
"Navajo County, Arizona","38400","04","017",
"Pima County, Arizona","43824","04","019",
"Pinal County, Arizona","49756","04","021",
"Yavapai County, Arizona","39895","04","025",
"Yuma County, Arizona","41666","04","027",
"Benton County, Arkansas","56570","05","007",
"Craighead County, Arkansas","41134","05","031",
"Faulkner County, Arkansas","49149","05","045",
"Garland County, Arkansas","39589","05","051",
"Jefferson County, Arkansas","34689","05","069",
"Lonoke County, Arkansas","56635","05","085",
"Pulaski County, Arkansas","46368","05","119",
"Saline County, Arkansas","53107","05","125",
"Sebastian County, Arkansas","41056","05","131",
"Washington County, Arkansas","42073","05","143",
"White County, Arkansas","43643","05","145",
"Alameda County, California","72399","06","001",
"Butte County, California","42752","06","007",
"Contra Costa County, California","79100","06","013",
"El Dorado County, California","61365","06","017",
"Fresno County, California","43925","06","019",
"Humboldt County, California","42092","06","023",
"Imperial County, California","43310","06","025",
"Kern County, California","46879","06","029",
"Kings County, California","45774","06","031",
"Lake County, California","37079","06","033",
"Los Angeles County, California","54529","06","037",
"Madera County, California","39758","06","039",
"Marin County, California","96580","06","041",
"Mendocino County, California","42042","06","045",
"Merced County, California","40687","06","047",
"Monterey County, California","57052","06","053",
"Napa County, California","70914","06","055",
"Nevada County, California","54851","06","057",
"Orange County, California","74163","06","059",
"Placer County, California","73328","06","061",
"Riverside County, California","54095","06","065",
"Sacramento County, California","52936","06","067",
"San Bernardino County, California","52323","06","071",
"San Diego County, California","61426","06","073",
"San Francisco County, California","77485","06","075",
"San Joaquin County, California","51432","06","077",
"San Luis Obispo County, California","58158","06","079",
"San Mateo County, California","91322","06","081",
"Santa Barbara County, California","62421","06","083",
"Santa Clara County, California","92014","06","085",
"Santa Cruz County, California","68438","06","087",
"Shasta County, California","40332","06","089",
"Solano County, California","63520","06","095",
"Sonoma County, California","61029","06","097",
"Stanislaus County, California","47962","06","099",
"Sutter County, California","49139","06","101",
"Tulare County, California","39422","06","107",
"Ventura County, California","77363","06","111",
"Yolo County, California","54898","06","113",
"Yuba County, California","43801","06","115",
"Adams County, Colorado","54878","08","001",
"Arapahoe County, Colorado","60956","08","005",
"Boulder County, Colorado","71604","08","013",
"Denver County, Colorado","51089","08","031",
"Douglas County, Colorado","102961","08","035",
"El Paso County, Colorado","57098","08","041",
"Jefferson County, Colorado","68201","08","059",
"Larimer County, Colorado","59052","08","069",
"Mesa County, Colorado","46723","08","077",
"Pueblo County, Colorado","41218","08","101",
"Weld County, Colorado","58611","08","123",
"Fairfield County, Connecticut","82084","09","001",
"Hartford County, Connecticut","63603","09","003",
"Litchfield County, Connecticut","70981","09","005",
"Middlesex County, Connecticut","75303","09","007",
"New Haven County, Connecticut","58571","09","009",
"New London County, Connecticut","62883","09","011",
"Tolland County, Connecticut","72954","09","013",
"Windham County, Connecticut","57503","09","015",
"Kent County, Delaware","54794","10","001",
"New Castle County, Delaware","63109","10","003",
"Sussex County, Delaware","50629","10","005",
"District of Columbia, District of Columbia","67572","11","001",
"Alachua County, Florida","38454","12","001",
"Bay County, Florida","45594","12","005",
"Brevard County, Florida","46472","12","009",
"Broward County, Florida","50446","12","011",
"Charlotte County, Florida","43698","12","015",
"Citrus County, Florida","40015","12","017",
"Clay County, Florida","57757","12","019",
"Collier County, Florida","54406","12","021",
"Columbia County, Florida","45220","12","023",
"Duval County, Florida","47906","12","031",
"Escambia County, Florida","42877","12","033",
"Flagler County, Florida","46055","12","035",
"Hernando County, Florida","39193","12","053",
"Highlands County, Florida","33811","12","055",
"Hillsborough County, Florida","49597","12","057",
"Indian River County, Florida","42401","12","061",
"Lake County, Florida","44026","12","069",
"Lee County, Florida","46383","12","071",
"Leon County, Florida","46859","12","073",
"Manatee County, Florida","48309","12","081",
"Marion County, Florida","38695","12","083",
"Martin County, Florida","49444","12","085",
"Miami-Dade County, Florida","41913","12","086",
"Monroe County, Florida","50838","12","087",
"Nassau County, Florida","54330","12","089",
"Okaloosa County, Florida","55139","12","091",
"Orange County, Florida","46716","12","095",
"Osceola County, Florida","41361","12","097",
"Palm Beach County, Florida","51804","12","099",
"Pasco County, Florida","45678","12","101",
"Pinellas County, Florida","43703","12","103",
"Polk County, Florida","42435","12","105",
"Putnam County, Florida","32295","12","107",
"St. Johns County, Florida","64862","12","109",
"St. Lucie County, Florida","42504","12","111",
"Santa Rosa County, Florida","54843","12","113",
"Sarasota County, Florida","48263","12","115",
"Seminole County, Florida","55058","12","117",
"Sumter County, Florida","52891","12","119",
"Volusia County, Florida","40919","12","127",
"Barrow County, Georgia","56051","13","013",
"Bartow County, Georgia","45191","13","015",
"Bibb County, Georgia","36327","13","021",
"Bulloch County, Georgia","36153","13","031",
"Carroll County, Georgia","45682","13","045",
"Catoosa County, Georgia","51608","13","047",
"Chatham County, Georgia","45263","13","051",
"Cherokee County, Georgia","64705","13","057",
"Clarke County, Georgia","31551","13","059",
"Clayton County, Georgia","40754","13","063",
"Cobb County, Georgia","63086","13","067",
"Columbia County, Georgia","72167","13","073",
"Coweta County, Georgia","61351","13","077",
"DeKalb County, Georgia","49796","13","089",
"Dougherty County, Georgia","30504","13","095",
"Douglas County, Georgia","50281","13","097",
"Fayette County, Georgia","81394","13","113",
"Floyd County, Georgia","37296","13","115",
"Forsyth County, Georgia","86052","13","117",
"Fulton County, Georgia","55914","13","121",
"Glynn County, Georgia","41502","13","127",
"Gwinnett County, Georgia","58917","13","135",
"Hall County, Georgia","44998","13","139",
"Henry County, Georgia","59097","13","151",
"Houston County, Georgia","49660","13","153",
"Liberty County, Georgia","39140","13","179",
"Lowndes County, Georgia","35317","13","185",
"Muscogee County, Georgia","40499","13","215",
"Newton County, Georgia","54107","13","217",
"Paulding County, Georgia","56307","13","223",
"Richmond County, Georgia","35649","13","245",
"Rockdale County, Georgia","49767","13","247",
"Troup County, Georgia","43642","13","285",
"Walker County, Georgia","42018","13","295",
"Walton County, Georgia","53233","13","297",
"Whitfield County, Georgia","38126","13","313",
"Hawaii County, Hawaii","48399","15","001",
"Honolulu County, Hawaii","73388","15","003",
"Kauai County, Hawaii","60155","15","007",
"Maui County, Hawaii","65558","15","009",
"Ada County, Idaho","52542","16","001",
"Bannock County, Idaho","42174","16","005",
"Bonneville County, Idaho","49884","16","019",
"Canyon County, Idaho","41941","16","027",
"Kootenai County, Idaho","54919","16","055",
"Twin Falls County, Idaho","47403","16","083",
"Adams County, Illinois","41327","17","001",
"Champaign County, Illinois","45682","17","019",
"Cook County, Illinois","53827","17","031",
"DeKalb County, Illinois","52867","17","037",
"DuPage County, Illinois","76195","17","043",
"Kane County, Illinois","72108","17","089",
"Kankakee County, Illinois","49761","17","091",
"Kendall County, Illinois","74859","17","093",
"Lake County, Illinois","74869","17","097",
"LaSalle County, Illinois","48552","17","099",
"McHenry County, Illinois","75449","17","111",
"McLean County, Illinois","61846","17","113",
"Macon County, Illinois","45957","17","115",
"Madison County, Illinois","54101","17","119",
"Peoria County, Illinois","49391","17","143",
"Rock Island County, Illinois","48159","17","161",
"St. Clair County, Illinois","48136","17","163",
"Sangamon County, Illinois","55317","17","167",
"Tazewell County, Illinois","56656","17","179",
"Vermilion County, Illinois","45089","17","183",
"Will County, Illinois","74397","17","197",
"Williamson County, Illinois","44418","17","199",
"Winnebago County, Illinois","46946","17","201",
"Allen County, Indiana","45006","18","003",
"Bartholomew County, Indiana","52505","18","005",
"Clark County, Indiana","50760","18","019",
"Delaware County, Indiana","36402","18","035",
"Elkhart County, Indiana","45387","18","039",
"Floyd County, Indiana","57401","18","043",
"Grant County, Indiana","38665","18","053",
"Hamilton County, Indiana","81958","18","057",
"Hancock County, Indiana","65421","18","059",
"Hendricks County, Indiana","67535","18","063",
"Howard County, Indiana","44265","18","067",
"Johnson County, Indiana","57245","18","081",
"Kosciusko County, Indiana","51221","18","085",
"Lake County, Indiana","48302","18","089",
"LaPorte County, Indiana","46506","18","091",
"Madison County, Indiana","40913","18","095",
"Marion County, Indiana","41345","18","097",
"Monroe County, Indiana","41972","18","105",
"Morgan County, Indiana","56664","18","109",
"Porter County, Indiana","63806","18","127",
"St. Joseph County, Indiana","40528","18","141",
"Tippecanoe County, Indiana","47731","18","157",
"Vanderburgh County, Indiana","41102","18","163",
"Vigo County, Indiana","37930","18","167",
"Wayne County, Indiana","34745","18","177",
"Black Hawk County, Iowa","45666","19","013",
"Dallas County, Iowa","78837","19","049",
"Dubuque County, Iowa","51735","19","061",
"Johnson County, Iowa","51606","19","103",
"Linn County, Iowa","56151","19","113",
"Polk County, Iowa","59328","19","153",
"Pottawattamie County, Iowa","50557","19","155",
"Scott County, Iowa","53884","19","163",
"Story County, Iowa","50279","19","169",
"Woodbury County, Iowa","45594","19","193",
"Butler County, Kansas","55647","20","015",
"Douglas County, Kansas","52150","20","045",
"Johnson County, Kansas","73737","20","091",
"Leavenworth County, Kansas","68266","20","103",
"Riley County, Kansas","43778","20","161",
"Sedgwick County, Kansas","48361","20","173",
"Shawnee County, Kansas","50150","20","177",
"Wyandotte County, Kansas","38412","20","209",
"Boone County, Kentucky","64414","21","015",
"Bullitt County, Kentucky","60264","21","029",
"Campbell County, Kentucky","53323","21","037",
"Christian County, Kentucky","45206","21","047",
"Daviess County, Kentucky","47252","21","059",
"Fayette County, Kentucky","47535","21","067",
"Hardin County, Kentucky","48035","21","093",
"Jefferson County, Kentucky","47488","21","111",
"Kenton County, Kentucky","53761","21","117",
"McCracken County, Kentucky","41209","21","145",
"Madison County, Kentucky","45316","21","151",
"Pike County, Kentucky","34373","21","195",
"Warren County, Kentucky","48783","21","227",
"Ascension Parish, Louisiana","75308","22","005",
"Bossier Parish, Louisiana","51796","22","015",
"Caddo Parish, Louisiana","39683","22","017",
"Calcasieu Parish, Louisiana","42625","22","019",
"East Baton Rouge Parish, Louisiana","48463","22","033",
"Iberia Parish, Louisiana","39793","22","045",
"Jefferson Parish, Louisiana","46576","22","051",
"Lafayette Parish, Louisiana","57949","22","055",
"Lafourche Parish, Louisiana","52373","22","057",
"Livingston Parish, Louisiana","52246","22","063",
"Orleans Parish, Louisiana","36631","22","071",
"Ouachita Parish, Louisiana","40473","22","073",
"Rapides Parish, Louisiana","39331","22","079",
"St. Landry Parish, Louisiana","31955","22","097",
"St. Tammany Parish, Louisiana","61280","22","103",
"Tangipahoa Parish, Louisiana","44166","22","105",
"Terrebonne Parish, Louisiana","55148","22","109",
"Androscoggin County, Maine","44127","23","001",
"Aroostook County, Maine","36825","23","003",
"Cumberland County, Maine","54780","23","005",
"Kennebec County, Maine","44724","23","011",
"Penobscot County, Maine","43598","23","019",
"York County, Maine","55350","23","031",
"Allegany County, Maryland","40165","24","001",
"Anne Arundel County, Maryland","86230","24","003",
"Baltimore County, Maryland","64795","24","005",
"Calvert County, Maryland","94196","24","009",
"Carroll County, Maryland","82955","24","013",
"Cecil County, Maryland","66090","24","015",
"Charles County, Maryland","88797","24","017",
"Frederick County, Maryland","84308","24","021",
"Harford County, Maryland","77765","24","025",
"Howard County, Maryland","109476","24","027",
"Montgomery County, Maryland","98326","24","031",
"Prince George's County, Maryland","72052","24","033",
"St. Mary's County, Maryland","78233","24","037",
"Washington County, Maryland","57615","24","043",
"Wicomico County, Maryland","48897","24","045",
"Baltimore city, Maryland","42266","24","510",
"Barnstable County, Massachusetts","61026","25","001",
"Berkshire County, Massachusetts","52514","25","003",
"Bristol County, Massachusetts","53501","25","005",
"Essex County, Massachusetts","67522","25","009",
"Franklin County, Massachusetts","52339","25","011",
"Hampden County, Massachusetts","48845","25","013",
"Hampshire County, Massachusetts","65190","25","015",
"Middlesex County, Massachusetts","82425","25","017",
"Norfolk County, Massachusetts","84317","25","021",
"Plymouth County, Massachusetts","76183","25","023",
"Suffolk County, Massachusetts","54747","25","025",
"Worcester County, Massachusetts","62483","25","027",
"Allegan County, Michigan","56077","26","005",
"Bay County, Michigan","41281","26","017",
"Berrien County, Michigan","44747","26","021",
"Calhoun County, Michigan","44520","26","025",
"Clinton County, Michigan","59569","26","037",
"Eaton County, Michigan","53328","26","045",
"Genesee County, Michigan","41249","26","049",
