"NAME","DP03_0062E","state","county",
"Baldwin County, Alabama","48378","01","003",
"Calhoun County, Alabama","39169","01","015",
"Cullman County, Alabama","37287","01","043",
"DeKalb County, Alabama","38445","01","049",
"Elmore County, Alabama","53328","01","051",
"Etowah County, Alabama","34264","01","055",
"Houston County, Alabama","40409","01","069",
"Jefferson County, Alabama","43959","01","073",
"Lauderdale County, Alabama","41908","01","077",
"Lee County, Alabama","45043","01","081",
"Limestone County, Alabama","47999","01","083",
"Madison County, Alabama","56839","01","089",
"Marshall County, Alabama","36197","01","095",
"Mobile County, Alabama","39691","01","097",
"Montgomery County, Alabama","41807","01","101",
"Morgan County, Alabama","45051","01","103",
"St. Clair County, Alabama","51859","01","115",
"Shelby County, Alabama","65728","01","117",
"Talladega County, Alabama","31547","01","121",
"Tuscaloosa County, Alabama","41139","01","125",
"Walker County, Alabama","35330","01","127",
"Anchorage Municipality, Alaska","72575","02","020",
"Fairbanks North Star Borough, Alaska","66539","02","090",
"Matanuska-Susitna Borough, Alaska","67486","02","170",
"Apache County, Arizona","33867","04","001",
"Cochise County, Arizona","43252","04","003",
"Coconino County, Arizona","45640","04","005",
"Maricopa County, Arizona","51432","04","013",
"Mohave County, Arizona","34445","04","015",
"Navajo County, Arizona","34298","04","017",
"Pima County, Arizona","44762","04","019",
"Pinal County, Arizona","50515","04","021",
"Yavapai County, Arizona","44035","04","025",
"Yuma County, Arizona","39485","04","027",
"Benton County, Arkansas","52294","05","007",
"Craighead County, Arkansas","44111","05","031",
"Faulkner County, Arkansas","49752","05","045",
"Garland County, Arkansas","40893","05","051",
"Jefferson County, Arkansas","36275","05","069",
"Lonoke County, Arkansas","51098","05","085",
"Pulaski County, Arkansas","44437","05","119",
"Saline County, Arkansas","58009","05","125",
"Sebastian County, Arkansas","37330","05","131",
"Washington County, Arkansas","41225","05","143",
"White County, Arkansas","38853","05","145",
"Alameda County, California","70500","06","001",
"Butte County, California","40960","06","007",
"Contra Costa County, California","74177","06","013",
"El Dorado County, California","69973","06","017",
"Fresno County, California","41627","06","019",
"Humboldt County, California","40682","06","023",
"Imperial County, California","40200","06","025",
"Kern County, California","45910","06","029",
"Kings County, California","45935","06","031",
"Lake County, California","33219","06","033",
"Los Angeles County, California","53001","06","037",
"Madera County, California","42039","06","039",
"Marin County, California","90535","06","041",
"Mendocino County, California","41369","06","045",
"Merced County, California","43597","06","047",
"Monterey County, California","58109","06","053",
"Napa County, California","68553","06","055",
"Nevada County, California","53768","06","057",
"Orange County, California","71983","06","059",
"Placer County, California","69086","06","061",
"Riverside County, California","52621","06","065",
"Sacramento County, California","52667","06","067",
"San Bernardino County, California","50770","06","071",
"San Diego County, California","60330","06","073",
"San Francisco County, California","73012","06","075",
"San Joaquin County, California","50722","06","077",
"San Luis Obispo County, California","60264","06","079",
"San Mateo County, California","81609","06","081",
"Santa Barbara County, California","61890","06","083",
"Santa Clara County, California","91425","06","085",
"Santa Cruz County, California","67769","06","087",
"Shasta County, California","45442","06","089",
"Solano County, California","62066","06","095",
"Sonoma County, California","59941","06","097",
"Stanislaus County, California","46405","06","099",
"Sutter County, California","47081","06","101",
"Tulare County, California","40302","06","107",
"Ventura County, California","71517","06","111",
"Yolo County, California","50594","06","113",
"Yuba County, California","43545","06","115",
"Adams County, Colorado","55863","08","001",
"Arapahoe County, Colorado","60443","08","005",
"Boulder County, Colorado","66989","08","013",
"Denver County, Colorado","50488","08","031",
"Douglas County, Colorado","95324","08","035",
"El Paso County, Colorado","55217","08","041",
"Jefferson County, Colorado","67512","08","059",
"Larimer County, Colorado","55890","08","069",
"Mesa County, Colorado","45892","08","077",
"Pueblo County, Colorado","41262","08","101",
"Weld County, Colorado","55357","08","123",
"Fairfield County, Connecticut","79841","09","001",
"Hartford County, Connecticut","63536","09","003",
"Litchfield County, Connecticut","67658","09","005",
"Middlesex County, Connecticut","74484","09","007",
"New Haven County, Connecticut","59271","09","009",
"New London County, Connecticut","66603","09","011",
"Tolland County, Connecticut","75238","09","013",
"Windham County, Connecticut","54098","09","015",
"Kent County, Delaware","52894","10","001",
"New Castle County, Delaware","62157","10","003",
"Sussex County, Delaware","49471","10","005",
"District of Columbia, District of Columbia","66583","11","001",
"Alachua County, Florida","41669","12","001",
"Bay County, Florida","46005","12","005",
"Brevard County, Florida","46162","12","009",
"Broward County, Florida","49793","12","011",
"Charlotte County, Florida","45247","12","015",
"Citrus County, Florida","39322","12","017",
