"NAME","DP03_0062E","state","county",
"Lackawanna County, Pennsylvania","45265","42","069",
"Lancaster County, Pennsylvania","57403","42","071",
"Lawrence County, Pennsylvania","45356","42","073",
"Lebanon County, Pennsylvania","54068","42","075",
"Lehigh County, Pennsylvania","58603","42","077",
"Luzerne County, Pennsylvania","44311","42","079",
"Lycoming County, Pennsylvania","45161","42","081",
"Mercer County, Pennsylvania","43574","42","085",
"Monroe County, Pennsylvania","63118","42","089",
"Montgomery County, Pennsylvania","79495","42","091",
"Northampton County, Pennsylvania","61879","42","095",
"Northumberland County, Pennsylvania","39778","42","097",
"Philadelphia County, Pennsylvania","39043","42","101",
"Schuylkill County, Pennsylvania","43044","42","107",
"Somerset County, Pennsylvania","46217","42","111",
"Washington County, Pennsylvania","56047","42","125",
"Westmoreland County, Pennsylvania","53844","42","129",
"York County, Pennsylvania","58587","42","133",
"Kent County, Rhode Island","62261","44","003",
"Newport County, Rhode Island","71799","44","005",
"Providence County, Rhode Island","47481","44","007",
"Washington County, Rhode Island","71229","44","009",
"Aiken County, South Carolina","48882","45","003",
"Anderson County, South Carolina","42837","45","007",
"Beaufort County, South Carolina","54996","45","013",
"Berkeley County, South Carolina","52427","45","015",
"Charleston County, South Carolina","53308","45","019",
"Darlington County, South Carolina","34651","45","031",
"Dorchester County, South Carolina","56277","45","035",
"Florence County, South Carolina","43148","45","041",
"Greenville County, South Carolina","49268","45","045",
"Greenwood County, South Carolina","37831","45","047",
"Horry County, South Carolina","43001","45","051",
"Lancaster County, South Carolina","44412","45","057",
"Laurens County, South Carolina","37638","45","059",
"Lexington County, South Carolina","53980","45","063",
"Oconee County, South Carolina","35159","45","073",
"Orangeburg County, South Carolina","28680","45","075",
"Pickens County, South Carolina","40136","45","077",
"Richland County, South Carolina","50028","45","079",
"Spartanburg County, South Carolina","43688","45","083",
"Sumter County, South Carolina","36633","45","085",
"York County, South Carolina","52565","45","091",
"Minnehaha County, South Dakota","54829","46","099",
"Pennington County, South Dakota","47838","46","103",
"Anderson County, Tennessee","47821","47","001",
"Blount County, Tennessee","46819","47","009",
"Bradley County, Tennessee","42563","47","011",
"Davidson County, Tennessee","47993","47","037",
"Greene County, Tennessee","36694","47","059",
"Hamilton County, Tennessee","48379","47","065",
"Knox County, Tennessee","46860","47","093",
"Madison County, Tennessee","42412","47","113",
"Maury County, Tennessee","53990","47","119",
"Montgomery County, Tennessee","50941","47","125",
"Putnam County, Tennessee","35516","47","141",
"Robertson County, Tennessee","51883","47","147",
"Rutherford County, Tennessee","52502","47","149",
"Sevier County, Tennessee","39175","47","155",
"Shelby County, Tennessee","43938","47","157",
"Sullivan County, Tennessee","38251","47","163",
"Sumner County, Tennessee","58316","47","165",
"Washington County, Tennessee","42950","47","179",
"Williamson County, Tennessee","93337","47","187",
"Wilson County, Tennessee","59685","47","189",
"Angelina County, Texas","42156","48","005",
"Bastrop County, Texas","53631","48","021",
"Bell County, Texas","51221","48","027",
"Bexar County, Texas","50760","48","029",
"Bowie County, Texas","40493","48","037",
"Brazoria County, Texas","74799","48","039",
"Brazos County, Texas","40973","48","041",
"Cameron County, Texas","32093","48","061",
"Collin County, Texas","86040","48","085",
"Comal County, Texas","62389","48","091",
"Coryell County, Texas","47042","48","099",
"Dallas County, Texas","50076","48","113",
"Denton County, Texas","74196","48","121",
"Ector County, Texas","58701","48","135",
"Ellis County, Texas","60294","48","139",
"El Paso County, Texas","40170","48","141",
"Fort Bend County, Texas","87973","48","157",
"Galveston County, Texas","57991","48","167",
"Grayson County, Texas","52058","48","181",
"Gregg County, Texas","50917","48","183",
"Guadalupe County, Texas","61538","48","187",
"Harris County, Texas","54178","48","201",
"Harrison County, Texas","49490","48","203",
"Hays County, Texas","59085","48","209",
"Henderson County, Texas","41112","48","213",
"Hidalgo County, Texas","34801","48","215",
"Hunt County, Texas","42038","48","231",
"Jefferson County, Texas","40652","48","245",
"Johnson County, Texas","55739","48","251",
"Kaufman County, Texas","56098","48","257",
"Liberty County, Texas","44188","48","291",
"Lubbock County, Texas","46076","48","303",
"McLennan County, Texas","43609","48","309",
"Midland County, Texas","77711","48","329",
"Montgomery County, Texas","70243","48","339",
"Nacogdoches County, Texas","39326","48","347",
"Nueces County, Texas","51817","48","355",
"Orange County, Texas","46809","48","361",
