,NAME,Median Household,state,county,Unnamed: 4
790,"Dane County, Wisconsin",59792,55,25,
791,"Dodge County, Wisconsin",50781,55,27,
792,"Eau Claire County, Wisconsin",47913,55,35,
793,"Fond du Lac County, Wisconsin",53065,55,39,
794,"Jefferson County, Wisconsin",53675,55,55,
795,"Kenosha County, Wisconsin",54172,55,59,
796,"La Crosse County, Wisconsin",47360,55,63,
797,"Manitowoc County, Wisconsin",46045,55,71,
798,"Marathon County, Wisconsin",52419,55,73,
799,"Milwaukee County, Wisconsin",42381,55,79,
800,"Outagamie County, Wisconsin",56918,55,87,
801,"Ozaukee County, Wisconsin",75170,55,89,
802,"Portage County, Wisconsin",45215,55,97,
803,"Racine County, Wisconsin",51904,55,101,
804,"Rock County, Wisconsin",45989,55,105,
805,"St. Croix County, Wisconsin",67870,55,109,
806,"Sheboygan County, Wisconsin",51899,55,117,
807,"Walworth County, Wisconsin",48940,55,127,
808,"Washington County, Wisconsin",64221,55,131,
809,"Waukesha County, Wisconsin",72364,55,133,
810,"Winnebago County, Wisconsin",51458,55,139,
811,"Wood County, Wisconsin",44568,55,141,
812,"Laramie County, Wyoming",54192,56,21,
813,"Natrona County, Wyoming",54526,56,25,
814,"Arecibo Municipio, Puerto Rico",16041,72,13,
815,"Bayamón Municipio, Puerto Rico",22952,72,21,
816,"Caguas Municipio, Puerto Rico",23870,72,25,
817,"Carolina Municipio, Puerto Rico",29498,72,31,
818,"Guaynabo Municipio, Puerto Rico",31217,72,61,
819,"Mayagüez Municipio, Puerto Rico",15771,72,97,
820,"Ponce Municipio, Puerto Rico",16488,72,113,
821,"San Juan Municipio, Puerto Rico",22150,72,127,
822,"Toa Alta Municipio, Puerto Rico",27498,72,135,
823,"Toa Baja Municipio, Puerto Rico",22197,72,137,
824,"Trujillo Alto Municipio, Puerto Rico",30379,72,139,
