,NAME,Median Household,state,county,Unnamed: 4
0,"Baldwin County, Alabama",44874,1,3,
1,"Calhoun County, Alabama",36205,1,15,
2,"Cullman County, Alabama",39936,1,43,
3,"DeKalb County, Alabama",40876,1,49,
4,"Elmore County, Alabama",50699,1,51,
5,"Etowah County, Alabama",39459,1,55,
6,"Houston County, Alabama",39006,1,69,
7,"Jefferson County, Alabama",45013,1,73,
8,"Lauderdale County, Alabama",43891,1,77,
9,"Lee County, Alabama",46068,1,81,
10,"Limestone County, Alabama",48639,1,83,
11,"Madison County, Alabama",58076,1,89,
12,"Marshall County, Alabama",38116,1,95,
13,"Mobile County, Alabama",42944,1,97,
14,"Montgomery County, Alabama",44675,1,101,
15,"Morgan County, Alabama",43169,1,103,
16,"St. Clair County, Alabama",53803,1,115,
17,"Shelby County, Alabama",67800,1,117,
18,"Talladega County, Alabama",37719,1,121,
19,"Tuscaloosa County, Alabama",46538,1,125,
20,"Walker County, Alabama",34810,1,127,
21,"Anchorage Municipality, Alaska",79045,2,20,
22,"Fairbanks North Star Borough, Alaska",69113,2,90,
23,"Matanuska-Susitna Borough, Alaska",72122,2,170,
24,"Apache County, Arizona",29180,4,1,
25,"Cochise County, Arizona",46647,4,3,
26,"Coconino County, Arizona",50637,4,5,
27,"Maricopa County, Arizona",52045,4,13,
28,"Mohave County, Arizona",39058,4,15,
29,"Navajo County, Arizona",38400,4,17,
30,"Pima County, Arizona",43824,4,19,
31,"Pinal County, Arizona",49756,4,21,
32,"Yavapai County, Arizona",39895,4,25,
33,"Yuma County, Arizona",41666,4,27,
34,"Benton County, Arkansas",56570,5,7,
35,"Craighead County, Arkansas",41134,5,31,
36,"Faulkner County, Arkansas",49149,5,45,
37,"Garland County, Arkansas",39589,5,51,
38,"Jefferson County, Arkansas",34689,5,69,
39,"Lonoke County, Arkansas",56635,5,85,
40,"Pulaski County, Arkansas",46368,5,119,
41,"Saline County, Arkansas",53107,5,125,
42,"Sebastian County, Arkansas",41056,5,131,
