,NAME,income 75K-end,S0601_C01_046E.1,income 50-65K,Health Support,Architectural engineering,Community and Social,Life/Social/Physical science,income 10-15K,Production Occupation,income 15-25K,Fire Fighting,income 65-75K,Construcation & Extraction,income 35-50K,educational attainment,income 25-35K,Transportation,income 0-10K,Computer engineer/science,Sales,Health Technical,Personal care and service,median income,Management income,Health Diagnosing,Busineess Finance Operations,Computer and Math,Office Administrative,"Installation, maintenance, repair",Education,Material Moving,"Arts,sports,design",Building/Grounds Maintenance,"Farming, fishing, forestry",Law Enforcement,Legal,Food Service,state,county,Unnamed: 40
0,"Baldwin County, Alabama",10.2,10.2,6.4,19607,63883,50823,55123,12,40848,15,49063,3.4,30108,12.5,19,12,34659,17.3,63576,23453,30984,19578,30475,71233,59951,47644,76309,26306,40686,31642,30627,34421,16444,-666666666,49908,33155,11673,1,3,
1,"Calhoun County, Alabama",5.7,5.7,7.1,16235,42099,35317,46989,13.6,35627,16.2,18041,2.9,25609,11.6,9.5,10,23269,21.7,47244,15889,32459,11307,26140,63804,40428,51902,50576,25646,31448,25852,25321,40258,16634,50451,35842,-666666666,11291,1,15,
2,"Cullman County, Alabama",5.3,5.3,6.3,21231,62176,31833,-666666666,10.4,31782,18.4,19715,2.9,38617,10.8,6.5,8.8,37188,15.3,66938,18923,27389,4726,30996,68664,66250,37367,67037,25791,36470,40991,30560,12547,17529,45772,52516,-666666666,12885,1,43,
3,"DeKalb County, Alabama",4.3,4.3,6.2,16371,95175,16787,-666666666,12.1,26784,16.8,-666666666,1.7,30020,12.5,4.9,9,34475,18.2,41759,18071,42777,30068,27028,40042,62222,51302,42268,23571,52167,51329,25280,11602,17551,2499,31708,73398,11962,1,49,
4,"Elmore County, Alabama",8.3,8.3,10.3,13327,86462,40596,-666666666,9.3,40701,11.5,51283,3.5,27303,10.6,12.7,12.2,48295,18.7,75909,30090,21438,3605,35565,51557,53750,45525,76641,31310,36701,45349,14298,36741,14057,6774,45357,17357,14008,1,51,
5,"Etowah County, Alabama",5.3,5.3,8.3,19026,51615,38266,40969,11.9,27651,18.4,17930,2.2,27244,12.2,10.4,11.9,40953,17.1,50036,20044,39694,13902,28438,45143,71181,49669,41295,26647,36807,19132,26455,30823,17088,10413,51500,49375,11617,1,55,
6,"Houston County, Alabama",8,8,6.5,20411,74583,30744,62955,10.8,28995,16.7,36935,1.9,30450,11.7,12.4,12.1,31920,18.4,61536,23217,24668,17192,28716,47235,52378,37131,49384,25294,40967,36672,27656,34924,16846,21466,39737,30625,10638,1,69,
7,"Jefferson County, Alabama",10.5,10.5,9.2,20230,71500,40722,48180,9.1,37007,15.5,24020,3.5,25332,11.8,16.7,10.3,35083,17.7,61134,26718,40796,15156,34374,64707,52337,60453,65231,28346,43047,46164,21713,42572,15702,16868,45141,100328,12083,1,73,
8,"Lauderdale County, Alabama",7.8,7.8,6.6,30679,64270,41362,100348,13.4,35440,14.8,35049,3.6,38833,12,10.9,11.4,32270,17.6,69405,25962,21263,9963,28348,43351,51284,50048,89728,21496,35375,36140,28605,9481,28023,-666666666,24794,110679,10389,1,77,
9,"Lee County, Alabama",8.4,8.4,6.9,23750,57425,32831,40137,8.2,30012,11.9,17048,3.9,21959,13.1,21.6,9.6,35527,22.8,50932,30761,30518,10424,31964,57782,61933,66711,37230,23309,36165,38338,30366,15583,30817,-666666666,39325,36771,8825,1,81,
10,"Limestone County, Alabama",11.8,11.8,7.3,12481,99497,35725,-666666666,9.9,31676,12.5,46136,2.2,25895,12.2,10.8,9.8,40031,15.2,98704,20645,22500,11450,35543,51988,50472,66967,89225,30999,41575,35069,17405,16981,13031,-666666666,78237,41938,10066,1,83,
11,"Madison County, Alabama",15.8,15.8,7.3,20207,98680,35653,76522,8.3,27009,14.5,18163,3.3,25499,10.4,21.5,10.2,24745,15.4,87997,23949,33629,17000,35514,80603,54352,73574,73463,25584,32762,34984,21670,33750,17329,29337,50246,45045,11926,1,89,
12,"Marshall County, Alabama",6.6,6.6,7.4,18214,101983,28233,49375,11.6,33501,15.4,17000,1.9,20830,11.2,11.1,12.7,38922,18.9,87964,23978,25208,10653,26448,46190,50098,51159,70875,23306,31285,21029,11681,16004,12618,16973,30763,36250,8094,1,95,
13,"Mobile County, Alabama",7.5,7.5,7.3,22299,75070,38503,45703,10.4,35547,16.3,16375,2.2,28507,12,14.1,11,31061,17.4,62186,21007,32227,16731,30933,55629,50856,45859,50869,28034,35221,33833,20942,40747,17509,30227,31243,49792,11651,1,97,
14,"Montgomery County, Alabama",9.3,9.3,7,19829,47508,45914,39464,9.5,27544,15,18538,2.9,30176,11.1,14.9,11.1,35499,19.9,52380,20814,28292,16774,30318,61174,60990,49015,56858,28436,33894,41343,22746,26640,20317,28339,44463,49144,11306,1,101,
15,"Morgan County, Alabama",8.8,8.8,8.5,26198,56917,26817,55615,10.1,31646,14.5,43504,1.9,25834,10.9,11.8,14.6,41700,17.1,66250,17132,30442,14000,30723,61111,45073,47724,90617,29020,43712,32347,26604,23594,17118,-666666666,35392,54588,10254,1,103,
16,"St. Clair County, Alabama",7.4,7.4,11.7,37957,67929,15963,-666666666,8.8,41889,14.3,55324,2.6,33325,12.8,7.2,10.2,39750,15.4,69718,30090,52075,17699,37495,62033,57217,50957,81655,33696,45107,40855,20877,30417,17074,77383,24811,57657,15422,1,115,
17,"Shelby County, Alabama",17.2,17.2,10.2,21170,80828,48114,46216,7.4,40917,10.9,43587,3.7,27283,12.2,24.7,10.1,37533,15.2,80242,36276,25960,9764,41584,86608,61449,62490,81007,28600,50817,42042,22002,55156,19873,19076,49833,107507,10582,1,117,
18,"Talladega County, Alabama",-999999999,-999999999,-999999999,9836,69638,33583,-666666666,-999999999,31901,-999999999,11076,-999999999,21927,-999999999,10.1,-999999999,35615,-999999999,69320,20123,40122,18217,32476,52153,41554,44391,80244,32478,32136,41905,30433,65250,15044,-666666666,-666666666,41204,10163,1,121,
19,"Tuscaloosa County, Alabama",9,9,7.7,25234,81113,44534,22026,9,27215,14.3,12837,2.2,30435,10.6,18.6,10.7,34020,21.7,66250,29990,35380,9567,31420,72535,54202,42371,51511,25028,55093,41933,23162,47682,30047,-666666666,33684,30773,11022,1,125,
20,"Walker County, Alabama",5.5,5.5,6.9,20292,60139,50595,-666666666,13.6,26074,15,28306,2,46478,11.3,6.2,8.4,43250,21.2,64468,12466,25833,15408,31377,41167,60222,73704,140130,30724,41675,38878,12344,9635,12387,-666666666,46078,-666666666,10335,1,127,
21,"Anchorage Municipality, Alaska",19.2,19.2,9.7,35080,79315,52721,50789,6.4,30630,11.9,35772,5.9,51298,12.4,22.1,12.1,42229,17.1,70589,27283,41362,21715,41299,71930,84235,56052,69866,35614,39952,51412,30607,31250,20665,40166,62464,66829,19102,2,20,
22,"Fairbanks North Star Borough, Alaska",16.5,16.5,9.1,20664,71991,52551,66161,6,31232,11.5,60654,6,50765,15.5,24.8,11.1,53291,19.2,52083,17188,50552,22346,38542,67111,61683,70492,41716,30998,70932,40601,9656,26462,21581,-666666666,105307,55485,6818,2,90,
23,"Matanuska-Susitna Borough, Alaska",15.9,15.9,7.9,25680,73315,54398,62959,8.5,45201,12,51847,4.8,56261,10.6,11.8,9.8,35779,22.9,70087,25954,41864,29018,40793,62198,80657,65120,71223,25899,50269,36240,55538,26333,19375,8646,55859,62378,14591,2,170,
24,"Apache County, Arizona",2.6,2.6,4.1,24043,77606,30489,80145,8.7,41559,10.8,22303,1.6,37626,10.1,7.7,6.5,20176,20.5,60865,16637,40925,15927,27781,47122,61102,57904,52321,30031,25417,36987,22121,6744,16711,19750,39214,-666666666,11719,4,1,
25,"Cochise County, Arizona",9.3,9.3,6.6,22455,66618,37467,27130,10.4,34812,15.4,35097,2.6,28007,8.5,5.8,13.9,28737,19.8,75694,17117,33292,11662,29485,61347,45046,80970,76226,30105,37500,34349,16815,33531,24477,22405,80869,-666666666,12410,4,3,
26,"Coconino County, Arizona",10.5,10.5,6.2,25481,72203,35215,75531,7.7,36584,12.2,37816,3.2,35880,11.3,12.8,8.5,45502,24.8,76442,21984,46458,12258,28533,48488,65012,41144,90771,19667,32070,36478,12418,21302,10075,32350,62305,60565,12436,4,5,
27,"Maricopa County, Arizona",11.9,11.9,7.7,25241,79539,37641,60899,8.2,27514,13.7,27904,3.3,30720,12.8,17.4,11.9,35118,14.5,71034,31820,34793,16455,33936,67365,70663,51522,69065,30425,41170,35880,20367,30725,18215,21548,57386,78333,13483,4,13,
28,"Mohave County, Arizona",6.4,6.4,6,20907,56147,30396,-666666666,11.7,32244,21.4,21263,2.3,38168,9.9,8.7,12.9,29914,16.8,56513,21303,42631,20407,26486,41804,81661,32260,75829,25716,30774,36505,17107,11860,15287,14083,61199,52320,15069,4,15,
29,"Navajo County, Arizona",5.6,5.6,5.6,24495,46354,37813,-666666666,10,22014,13.1,35263,1.9,31201,9.1,6.3,8.3,34908,22.1,55588,18013,32766,12869,25891,50478,70196,36645,111618,23360,42327,38599,13908,32254,10371,11650,46092,-666666666,12448,4,17,
30,"Pima County, Arizona",9.4,9.4,7.3,22112,76871,32929,41422,9.7,34231,16.3,23630,2.8,31018,11.5,13.6,11.1,32418,17.8,61042,22784,34256,15846,29293,56720,62446,45745,60193,25546,31556,30971,16919,25904,16793,20819,72123,89833,12765,4,19,
31,"Pinal County, Arizona",6.5,6.5,7.1,22971,71139,31557,43177,8.5,33725,14.8,47102,3,36749,11.7,5.2,10.6,31200,17.6,63433,28283,36115,16208,32028,60864,61855,52280,75544,29891,41370,33295,21994,34410,16446,30296,49608,70221,12412,4,21,
32,"Yavapai County, Arizona",7.6,7.6,8.1,18579,79317,32167,-666666666,11.5,30904,18.9,22818,2.5,31778,12.3,13.1,12,31206,16.2,59171,25455,36424,7036,26702,52321,68978,34669,57250,26383,34682,22629,31477,16026,13884,12162,50910,82602,14499,4,25,
33,"Yuma County, Arizona",5.3,5.3,5.5,23851,76349,31168,24404,9.4,25911,16.5,31962,2.5,31067,10.4,10,13.2,40923,17.9,65299,15406,53048,11151,27142,51934,57293,51102,40328,24999,40844,32703,20128,45681,17711,12258,47213,35667,12222,4,27,
34,"Benton County, Arkansas",13.1,13.1,7.9,26538,62200,35763,55093,7.8,30235,14,45181,3.2,30685,11.6,18.7,14.3,26815,12.3,68760,40501,31182,16364,34381,66664,68216,79575,71548,28888,35431,38782,30377,31231,21559,14183,33432,66870,12420,5,7,
35,"Craighead County, Arkansas",6.8,6.8,6.5,15951,35274,21983,51155,12.8,27075,15.6,18954,3.2,26004,12.2,13.2,12.6,31063,18.3,47023,26705,14826,17737,26889,63898,70131,40049,45843,23486,26149,39303,26250,26295,17667,21982,32424,-666666666,13337,5,31,
36,"Faulkner County, Arkansas",9.7,9.7,7,14444,65600,66233,71793,10.6,29081,13.1,39330,4,27142,11.5,19.2,9.8,50083,20,65875,18320,23056,9402,30963,61083,61398,36574,65143,27219,50136,41404,20380,40193,33823,26715,71068,84727,10518,5,45,
37,"Garland County, Arkansas",5.3,5.3,7.2,17345,47285,32313,-666666666,13.1,30506,19.5,37286,2.3,20944,10.3,10.1,12.3,29219,17.8,46004,19358,29048,12595,23039,51486,79023,37336,27418,23081,31061,46199,25313,8125,14678,10817,31012,23842,10992,5,51,
38,"Jefferson County, Arkansas",4.3,4.3,5.6,15763,34905,30621,53388,9.1,26862,12.5,43275,3.3,30136,10.4,9,12.4,35559,24.7,53446,33765,35839,11250,28690,50897,50409,53654,57780,28497,23697,35376,17290,9876,20269,-666666666,32280,-666666666,9126,5,69,
39,"Lonoke County, Arkansas",9.9,9.9,8.4,21027,69094,35278,-666666666,8.3,37132,11.4,-666666666,4.7,47279,14.2,15,11.1,30126,15.5,62480,37988,40824,21699,36637,42375,51450,65169,62090,30063,49045,42543,36415,43093,3713,26265,41103,-666666666,9488,5,85,
40,"Pulaski County, Arkansas",10.6,10.6,7.5,21497,71806,31011,49531,8.7,28246,15.2,31798,3.4,26436,12.7,19.7,11.2,28494,17.1,70363,23355,29120,15206,32335,52480,68965,50879,75102,27450,37366,36753,21497,28706,16715,25550,45152,50971,12345,5,119,
41,"Saline County, Arkansas",8.6,8.6,9.9,26403,66722,38680,40941,11.1,40228,14.7,38644,3.7,30786,15,13.9,10.5,26821,15.3,67028,26115,37245,32845,34368,55784,51344,60292,74924,27092,46586,41195,14164,34698,15000,-666666666,39181,51550,11052,5,125,
42,"Sebastian County, Arkansas",6,6,7.3,12739,75383,31866,50833,12.4,23295,16.6,16108,2.4,30245,9.4,15.1,13.2,27491,17.2,55891,25686,31638,10646,27229,51344,47058,47153,55750,26791,32680,36096,35038,4853,21805,30463,45826,68709,16135,5,131,
43,"Washington County, Arkansas",9,9,6.4,20591,50896,41044,51586,8.5,25736,17.2,46028,2.4,26967,11.6,22,12.6,30215,15,58956,25862,32614,10500,28423,44469,70046,44712,61049,25114,42115,27850,22754,31445,20454,16218,38545,62010,14243,5,143,
44,"White County, Arkansas",7.1,7.1,7.1,30186,43750,38031,50523,10.5,28831,12.7,4713,1.2,46128,8.8,8.5,15.3,52096,23.3,55216,20423,32248,14127,29060,47645,44163,39765,56851,24924,30655,42098,14161,26818,10462,-666666666,38304,-666666666,11042,5,145,
45,"Alameda County, California",21,21,8.5,31092,92312,44145,70042,8.1,33882,10.8,25600,4.2,39620,10.7,26.1,8.7,40394,13.8,92260,31581,51090,17283,45893,85414,86306,70070,100358,36376,43467,39788,23878,49514,25127,18383,77789,101227,17906,6,1,
46,"Butte County, California",8.9,8.9,6.6,15906,47248,42130,72230,12.5,29434,14.9,6881,2.7,35734,10.4,21.8,9.5,46133,20.8,55991,20565,31972,11013,27674,61305,82778,44270,50408,24905,41585,23179,6942,23343,16240,25243,86131,49990,11134,6,7,
47,"Contra Costa County, California",21.4,21.4,8.3,27374,95455,47169,72159,7.8,41356,10.9,50037,4,42112,10.5,26.1,8.5,41135,13.4,98423,35491,40557,18894,45869,87447,100034,75962,106218,36519,51163,40255,20669,38440,24139,16959,101053,112039,16155,6,13,
48,"El Dorado County, California",20.3,20.3,8.6,28115,120930,41426,80463,9.6,45697,12,40963,3.8,27233,8.9,20,7.9,50530,15.9,101480,37185,30956,22839,45438,97990,95196,65332,99269,27770,60626,46045,16887,26803,27041,20951,78009,100953,12887,6,17,
49,"Fresno County, California",8.6,8.6,6.4,23928,61148,37953,48554,11,26991,14.8,20468,2.8,32008,8.8,14.2,9.4,31133,19.1,59922,24836,40759,11932,26569,61062,78532,45191,60446,25806,40444,36585,17364,22903,20023,13808,69857,76054,12995,6,19,
50,"Humboldt County, California",6.6,6.6,6.8,25023,40199,36458,61193,11.2,25875,16.2,60526,3.2,20744,11.2,17.8,11.6,31760,20.1,50354,16995,30652,14885,26046,50435,60012,36786,51799,23229,31202,35837,18782,20000,21798,22419,19618,75165,14851,6,23,
51,"Imperial County, California",6.4,6.4,4.4,12009,82335,38981,80505,13.5,30510,11.5,21287,1.8,38991,7.5,10.3,8,30258,24,81551,16556,38641,12979,26043,60932,57342,36507,-666666666,28738,35581,24151,13631,21103,14907,16434,85441,-666666666,16016,6,25,
52,"Kern County, California",9.7,9.7,5.6,25023,81269,40665,58963,11.4,31828,15,25879,3.3,37139,9,11.3,8.9,41239,15.1,71509,23477,40803,11618,29785,75923,72222,45775,72210,30399,40824,40525,21929,32486,20372,17010,80582,68406,11771,6,29,
53,"Kings County, California",7.4,7.4,6,23022,81138,48050,20995,8.9,26798,12.9,35079,3,40157,10.4,11.3,8.6,37341,14.8,45742,20779,41660,10934,30769,40647,100673,34763,42449,26715,46839,41359,22473,9294,17740,23327,82713,36776,14630,6,31,
54,"Lake County, California",8.2,8.2,5.4,10126,-666666666,40123,-666666666,12.1,21465,18.9,70090,1.2,27568,10.2,8.6,10.1,38345,18.2,56842,23745,30482,9813,24988,41840,101017,15130,-666666666,25723,42537,6892,11827,56204,21570,22695,-666666666,-666666666,26162,6,33,
55,"Los Angeles County, California",12.7,12.7,6.8,24153,79087,42800,61881,9.6,24030,14.5,25001,3,27353,9.8,20.3,9.6,31498,15.2,73050,25894,38267,15710,31767,66410,80419,55931,73510,30659,36387,38198,20180,46881,18132,18544,86049,99754,17744,6,37,
56,"Madera County, California",7.7,7.7,6.5,20411,100233,41220,-666666666,9,30349,18,32821,2.7,30261,8.4,13.9,9.5,45706,15.2,72162,22436,35348,17218,25697,76495,80726,66523,70307,28832,31262,48518,15179,30891,23847,17209,70217,52474,12397,6,39,
57,"Marin County, California",31.3,31.3,7.5,30007,82136,50355,71062,6.4,36554,10.3,32512,4.6,42208,8.7,34.4,8.4,44153,12.3,91645,53580,59446,14552,55388,101800,95896,81716,112280,37377,41262,52320,16292,62589,20721,18217,101492,121729,17980,6,41,
58,"Mendocino County, California",7.7,7.7,6.1,29826,40741,41392,37739,14.2,36390,14.8,80535,3.4,31071,12.2,16.2,11,40444,16.1,41003,22208,42241,12547,28984,40213,92958,38575,70224,21283,51797,27167,24577,4258,14646,20484,56158,51436,11095,6,45,
59,"Merced County, California",6.8,6.8,4.4,22028,58453,36053,49885,12.5,26403,15.5,26865,2.5,31464,9.6,13,10,32145,18.4,59207,22620,46298,11684,26073,36472,86048,51770,70985,30550,40082,51039,23408,19861,14997,20506,66454,28525,10703,6,47,
60,"Monterey County, California",10.9,10.9,5.9,26835,70878,38433,70714,9,29776,18.4,35990,3.2,31914,9.4,17.6,10.7,35284,13.2,66653,26241,29643,16463,27876,66666,81837,55334,65973,29562,47134,49735,22072,32227,21447,19401,87236,67093,16788,6,53,
61,"Napa County, California",18.9,18.9,9.3,21085,93380,33117,53287,7.4,35880,12.9,12563,3.4,37188,10.6,23.1,10.2,56041,15.2,87719,42449,34375,19413,37375,71217,91303,61124,106912,31952,36843,32841,31115,32330,19870,21204,95703,124615,22656,6,55,
62,"Nevada County, California",14.7,14.7,6.4,19793,77362,32378,78833,8.8,30952,13,63006,3.4,37184,12.1,16.9,10.9,37776,19.5,77264,35949,37141,11160,36797,70629,101029,72379,69112,30192,40669,40951,7683,5753,18877,-666666666,67469,81163,18975,6,57,
63,"Orange County, California",18.2,18.2,7.3,25287,87048,48941,55736,8.3,27155,12.7,26494,3.3,31734,9.9,27.2,9,32024,13.9,82095,35084,39682,15175,37362,81749,85015,62449,82807,31179,36366,42647,20799,37296,20271,17515,95026,82498,15009,6,59,
64,"Placer County, California",20.2,20.2,8.8,26120,77242,41104,62034,8,50041,11.8,70037,4.3,42316,10.3,24.6,8.4,37387,13.5,81841,41463,40763,15392,43462,84700,96500,60974,85500,31792,58324,50859,21378,35325,16778,20726,76646,100055,14918,6,61,
65,"Riverside County, California",10.7,10.7,6.8,20546,90173,41480,47194,8.9,29054,14.3,27438,3.1,35121,10,12.4,10.2,36725,16.3,67335,25927,35857,15337,30923,67003,77203,51682,66612,30000,40312,40547,21258,34829,17735,17084,81675,68116,15694,6,65,
66,"Sacramento County, California",13.1,13.1,8.1,29518,81096,48066,59599,9.7,30137,12.8,35238,3.8,31694,11,20.9,9.5,33390,16,72246,25912,37373,15550,35618,64115,90081,52494,70049,30785,42128,39391,19447,35088,19278,23497,81658,72089,15371,6,67,
67,"San Bernardino County, California",8.7,8.7,6.6,22012,74561,42803,46500,9.8,26969,14.1,27755,2.7,33939,10.1,11.2,10,36230,16,62905,21516,39529,14486,30555,60464,72196,48130,62539,29408,40443,44237,20182,25587,19229,15032,80552,60035,12274,6,71,
68,"San Diego County, California",15.4,15.4,8.1,24686,82432,41640,59397,8.9,32348,13.7,26483,3.6,33474,10.7,22.7,9.6,28168,14.2,78928,30146,40842,15811,36244,71178,77244,61165,82870,30892,40270,40763,20115,36074,19499,18564,81206,70277,16198,6,73,
69,"San Francisco County, California",28.9,28.9,8.6,26910,95029,44228,80364,8.4,26862,9.1,40454,4.8,31019,8.8,40.6,7.5,31203,14.1,101196,48973,55422,18339,56559,100425,100190,82383,111395,46359,50266,51145,25419,55226,27062,13750,111260,131502,22055,6,75,
70,"San Joaquin County, California",9.5,9.5,6.6,21810,97403,48662,51177,10.9,33059,13.5,29756,2.9,32189,10.3,12.5,10.5,36164,15.5,82210,25796,42451,13667,31413,61741,91173,56002,74055,30540,38210,36533,21631,24018,22281,21458,82191,62118,12105,6,77,
71,"San Luis Obispo County, California",15,15,8.3,26022,71431,28066,74552,8.6,33928,14,30875,3.3,36899,9.4,22.2,9.9,37161,17.9,70205,25748,36987,14625,32311,55544,86350,43036,61333,26225,56875,46370,18684,31324,17234,21530,84563,185014,15158,6,79,
72,"San Mateo County, California",25.9,25.9,8.2,34068,101898,50467,101190,6.6,33280,11.5,41103,3.7,41378,10,28.8,8.4,34446,13.2,110345,32136,51366,16263,50006,106739,100766,80261,117154,36651,47172,44800,25008,50788,22447,18384,101210,108659,20759,6,81,
73,"Santa Barbara County, California",13.6,13.6,7.2,25407,82366,35551,67060,9.1,31143,15.8,48547,3.4,32445,10.1,24.6,10.5,32262,16.2,72379,21824,46788,14276,29519,71776,85496,60039,71439,26164,41336,37055,19274,33789,21800,20412,77894,88423,14573,6,83,
74,"Santa Clara County, California",26.2,26.2,7.4,32480,110819,46360,70578,6.9,35904,10.7,25548,3.3,37262,9.1,27.1,7.6,36856,13,111120,35147,47032,15591,51385,108822,100848,71942,120065,35590,41950,40061,19545,50402,22099,20731,100074,141238,18047,6,85,
75,"Santa Cruz County, California",14.7,14.7,6.9,22448,62062,40125,65502,9.6,29251,14.2,25859,3.6,31966,9.6,24.1,8.8,34109,17,77434,21073,32862,10900,30637,78464,67173,55227,87438,25144,32371,37218,23727,41350,16614,15950,80294,98991,11787,6,87,
76,"Shasta County, California",9.1,9.1,6.9,20802,81907,35963,82575,11.4,32222,15.4,36939,2.9,41406,12.1,12.4,10.8,41642,17.6,60053,23851,28576,12005,30979,52118,100032,50814,44417,28807,32221,26656,15552,32770,22519,24698,81155,40477,14958,6,89,
77,"Solano County, California",14.1,14.1,8.7,28756,70041,49415,71250,8.7,41063,13.1,27041,3.6,45400,12.1,17.7,9.3,36665,15.1,72061,20969,41487,15737,37325,68813,94178,56187,80146,34457,62119,37386,17226,28233,23403,17402,78031,60200,16410,6,95,
78,"Sonoma County, California",15.3,15.3,9.8,31553,63288,46938,41995,8.6,30620,13.5,47126,3.6,37648,12.4,21.4,11.2,29163,14.3,62467,32584,40673,18941,35763,59651,81293,61270,75169,33875,50859,42135,25063,50680,22197,20746,100326,56618,15637,6,97,
79,"Stanislaus County, California",9.3,9.3,6.6,23345,51362,36110,49657,10.9,38596,13.6,24969,3.4,37496,10.4,11.6,10.2,40083,17.3,55966,25103,41159,15990,31752,60309,87068,55203,72118,31088,42232,49814,23879,42791,21199,20409,64494,101071,13415,6,99,
80,"Sutter County, California",9.7,9.7,6.3,12067,66855,41194,30979,8.6,40417,15.7,22892,2.4,29344,9.8,11.1,12.2,46081,20.6,57596,23160,30584,7188,29052,60563,81446,43765,57571,26563,45915,42780,19525,22651,21744,20087,106437,100788,16337,6,101,
81,"Tulare County, California",6.9,6.9,5.8,23256,51745,50622,48715,12.4,30074,15.3,14324,2.3,25348,7.8,12.3,9.3,36762,19.2,52473,20644,51685,16486,25499,47237,63024,50532,60305,25017,32093,42422,19918,37251,17601,13434,83964,58616,13735,6,107,
82,"Ventura County, California",17.3,17.3,7.8,25650,92151,47464,85000,8.9,31189,13.5,40520,3.4,40229,10,22.2,9.9,43137,13.7,90737,29914,36456,17325,35743,82201,80161,62403,90511,30019,40424,41717,21964,50401,23958,17258,77360,111453,16474,6,111,
83,"Yolo County, California",14.7,14.7,6.6,25074,70198,32723,43312,8.2,23061,12.9,21774,3.8,40469,9.6,23.5,8.5,30945,19.4,60419,19643,50192,12739,33335,78148,87072,58013,70931,26455,43250,45674,31766,33474,25394,19057,82061,100953,16650,6,113,
84,"Yuba County, California",9.1,9.1,6.9,17227,64037,38913,-666666666,10.4,33458,16.9,36508,3.6,36148,11.7,11.5,11.1,32929,14,55250,25514,31323,19590,31541,65800,71356,31847,33692,31841,60112,11490,26397,18500,14525,21019,90986,-666666666,10631,6,115,
85,"Adams County, Colorado",10.7,10.7,9.9,21272,66226,40421,46649,7.8,31636,14.1,25361,3.8,32140,13.8,14.4,12.4,39095,14,66798,28980,41378,18810,34769,63581,63141,51823,71343,31815,35780,32103,28003,36990,19359,13810,61554,55833,15925,8,1,
86,"Arapahoe County, Colorado",15.4,15.4,10.1,26381,74102,40933,55567,6.4,33566,12.7,32421,4.8,31709,13.3,22.9,12.6,38895,12.5,73329,31168,36044,18540,39083,70369,67116,55893,75351,32046,42426,30833,19858,35608,21389,35288,66727,62282,16530,8,5,
87,"Boulder County, Colorado",19.7,19.7,8,23571,82268,35737,52360,7.9,27377,11.7,11604,3.6,31165,10.7,31.3,10.6,40048,17.4,81829,26408,31706,16945,36763,80918,65109,69824,90644,25418,38197,29891,16220,37878,16165,31845,40132,61139,12286,8,13,
88,"Broomfield County, Colorado",24.1,24.1,9.3,25683,77209,40013,75112,5.4,49730,9.4,35833,5.1,50063,14.8,35.9,11.5,27272,12.7,86796,40278,46016,10494,47001,78178,47044,51898,98673,34598,35914,47415,12194,23084,24851,-666666666,72024,44129,11068,8,14,
89,"Denver County, Colorado",16.5,16.5,9,30384,69028,40476,53112,7.4,27118,13.2,25884,4.5,32303,13.8,26.7,11,25834,12.5,70775,35766,33373,20490,40124,70120,62271,56595,77008,31541,41238,40118,25949,42488,19497,30823,80665,92140,19810,8,31,
90,"Douglas County, Colorado",28.7,28.7,11.3,25123,84897,43245,63533,4.2,36490,8.2,40871,5,48565,10.3,33.3,7.7,47799,12.6,90028,52873,46386,22949,56372,91622,75090,77394,91463,36450,62006,36386,17708,31303,20701,10938,77176,126000,8003,8,35,
91,"El Paso County, Colorado",12.6,12.6,8.9,22375,73806,41350,61928,8.9,30442,13.7,29235,3.4,30606,13,21,11.8,39370,15.6,77393,27576,35746,17515,32269,55428,61250,51698,80771,27274,42308,34359,20539,19739,18922,16104,68081,50661,12632,8,41,
92,"Jefferson County, Colorado",17.4,17.4,10.5,25851,76137,42077,62323,6.5,41187,12.3,25788,4.8,37148,14.1,23,11.7,37935,13.2,74795,35269,40945,20764,41402,71347,66772,55692,77314,32528,49107,32455,28125,38421,18100,19271,45708,65779,18042,8,59,
93,"Larimer County, Colorado",13.4,13.4,9.7,26664,78493,37117,45973,8.1,29612,13.8,36678,3.8,36290,12.7,28.3,10.9,25120,17.1,67407,23545,35101,13256,34118,61108,59402,51515,71721,26985,43021,32177,25163,20700,23478,19603,56689,56339,12216,8,69,
94,"Mesa County, Colorado",9,9,9.7,23496,56528,25597,75686,9.4,22477,15.1,11125,3.3,41391,12.5,19.3,11.9,22022,20.2,72456,16700,40866,16988,30343,52032,71437,50518,71814,22253,44361,27658,20187,18910,20738,12148,55990,66807,11242,8,77,
95,"Pueblo County, Colorado",6.5,6.5,7.2,17885,47975,30463,51225,10.3,25545,17.1,51523,2.9,28323,11.8,12.1,10.3,36340,20.3,53837,21867,29634,12486,28716,50704,61533,46250,66972,22379,48082,36337,28878,27197,20208,2499,51613,66372,10649,8,101,
96,"Weld County, Colorado",13,13,8.8,24767,80721,42995,60867,8.1,36015,11.8,22061,5.2,34971,13,15.3,11.4,52471,14.6,76529,30148,40028,19533,36476,60971,66216,57094,76988,30338,51376,36705,25533,36871,20304,35598,56405,57625,10933,8,123,
97,"Fairfield County, Connecticut",22.3,22.3,8.2,23848,81807,45860,80219,6.7,34059,11.7,32444,3.9,40344,10.4,23.6,8.3,37466,14.7,81643,41329,42163,12444,46347,111931,74667,86440,82016,35779,55231,47499,21009,48175,20170,11788,71333,128470,18283,9,1,
