,NAME,income 75K-end,S0601_C01_046E.1,income 50-65K,Health Support,Architectural engineering,Community and Social,Life/Social/Physical science,income 10-15K,Production Occupation,income 15-25K,Fire Fighting,income 65-75K,Construcation & Extraction,income 35-50K,educational attainment,income 25-35K,Transportation,income 0-10K,Computer engineer/science,Sales,Health Technical,Personal care and service,median income,Management income,Health Diagnosing,Busineess Finance Operations,Computer and Math,Office Administrative,"Installation, maintenance, repair",Education,Material Moving,"Arts,sports,design",Building/Grounds Maintenance,"Farming, fishing, forestry",Law Enforcement,Legal,Food Service,state,county,Unnamed: 40
269,"Kenton County, Kentucky",9.7,9.7,8.3,24543,61266,36063,38477,9.4,34389,15.7,21766,3.5,36420,15.7,12.8,12.9,46574,15.4,55949,39180,47775,15493,34679,61058,56879,50523,51943,27045,34659,27151,23096,29954,21548,-666666666,34838,42221,12425,21,117,
270,"McCracken County, Kentucky",11.1,11.1,9.2,27605,71935,32101,70129,10.2,40286,16.4,21829,2.8,33339,10.6,18,12.9,21779,16.3,64000,28053,26649,20344,31610,72551,70602,52170,54450,22044,46987,37182,25110,26673,12039,-666666666,31529,126220,12099,21,145,
271,"Madison County, Kentucky",6.3,6.3,6.7,25277,55205,31250,-666666666,12.3,41553,11.7,38637,3.5,31607,12.8,13.1,12.3,37046,24.3,55685,17444,31536,10102,31640,60099,67686,49124,56207,26735,41304,27061,23993,49098,20203,11922,45714,-666666666,6018,21,151,
272,"Pike County, Kentucky",-999999999,-999999999,-999999999,28018,41371,27800,25430,-999999999,35516,-999999999,21233,-999999999,57770,-999999999,5.5,-999999999,36702,-999999999,48750,18938,25274,17706,27433,57816,100741,36991,61229,24428,24467,49623,39357,-666666666,19341,-666666666,-666666666,66366,12206,21,195,
273,"Warren County, Kentucky",7.3,7.3,8,24624,51273,34125,57188,9.5,31707,16,4542,2.3,22162,11.1,18.9,11.2,25391,21.6,55847,21693,24352,20314,28619,62559,63803,42124,64566,22881,40445,36241,9832,22043,30020,25956,-666666666,90399,12286,21,227,
274,"Ascension Parish, Louisiana",17.8,17.8,9.3,20019,100627,65219,96194,7.5,58113,10,65341,4.2,41117,12.9,18.6,8.5,52040,15.6,97148,40104,24547,8926,46176,73709,67235,60834,46533,35167,51157,46395,47657,26931,18274,-666666666,52140,41879,12620,22,5,
275,"Bossier Parish, Louisiana",11.7,11.7,8.7,21992,65479,36121,-666666666,8.5,19983,14.5,60234,3.8,40896,13.1,13.3,11.7,40637,14.8,65541,35659,40413,11602,36299,63865,68671,32909,38315,30546,44468,40378,11404,52188,20328,-666666666,63471,52750,15041,22,15,
276,"Caddo Parish, Louisiana",8,8,6.9,18649,32165,31823,66048,11.1,27436,16.6,21621,2.9,39775,11.7,13.8,8.7,36335,18.2,39344,18658,35068,12112,29072,58920,71597,46620,37315,26254,32164,37389,19563,32138,11944,21407,40870,62500,11378,22,17,
277,"Calcasieu Parish, Louisiana",10.5,10.5,7.1,17809,70836,35637,80790,9.9,60301,16.7,28896,3.7,56120,11.1,14.5,10.5,36774,18.4,50973,18142,34179,16266,31505,48223,47434,49128,41428,23147,50625,36458,20574,35772,17697,16534,42083,130748,11065,22,19,
278,"East Baton Rouge Parish, Louisiana",12.7,12.7,8.3,16536,82170,50371,47024,9.2,42418,15.1,26004,2.6,39912,11.1,21.6,10.4,40925,17.8,61582,24228,31740,15468,31981,69197,60504,46037,45938,26950,40989,37369,19912,30660,18700,15856,41332,66279,14479,22,33,
